adm2_code,entidad,municipio,poverty_rate
MX13023,Hidalgo,Francisco I. Madero,48.2062277219
MX13024,Hidalgo,Huasca de Ocampo,51.1308243642
MX13025,Hidalgo,Huautla,64.2316437648
MX13026,Hidalgo,Huazalingo,86.1527243111
MX13027,Hidalgo,Huehuetla,75.7635706413
MX13028,Hidalgo,Huejutla de Reyes,65.3541444548
MX13029,Hidalgo,Huichapan,42.4419017192
MX13030,Hidalgo,Ixmiquilpan,50.2448216348
MX13031,Hidalgo,Jacala de Ledezma,43.6846711542
MX13032,Hidalgo,Jaltocán,75.2097916339
MX13033,Hidalgo,Juárez Hidalgo,55.636523574899996
MX13034,Hidalgo,Lolotla,77.1702514714
MX13035,Hidalgo,Metepec,42.8211500951
MX13036,Hidalgo,San Agustín Metzquititlán,53.0476087427
MX13037,Hidalgo,Metztitlán,51.8886612028
MX13038,Hidalgo,Mineral del Chico,42.8447278309
MX13039,Hidalgo,Mineral del Monte,49.6261241578
MX13040,Hidalgo,La Misión,61.9497477088
MX13041,Hidalgo,Mixquiahuala de Juárez,39.7494863879
MX13042,Hidalgo,Molango de Escamilla,59.7170356871
MX13043,Hidalgo,Nicolás Flores,67.643574132
MX13044,Hidalgo,Nopala de Villagrán,43.0924950533
MX13045,Hidalgo,Omitlán de Juárez,44.7482502187
MX13046,Hidalgo,San Felipe Orizatlán,68.9233200899
MX13047,Hidalgo,Pacula,53.8798107934
MX13048,Hidalgo,Pachuca de Soto,28.2238205128
MX13049,Hidalgo,Pisaflores,61.6872498336
MX13050,Hidalgo,Progreso de Obregón,38.974902331
MX13051,Hidalgo,Mineral de la Reforma,18.7288219888
MX13052,Hidalgo,San Agustín Tlaxiaca,43.4100170338
MX13053,Hidalgo,San Bartolo Tutotepec,65.132697516
MX13054,Hidalgo,San Salvador,42.8819951612
MX13055,Hidalgo,Santiago de Anaya,48.9966008761
MX13056,Hidalgo,Santiago Tulantepec de Lugo Guerrero,39.154255192
MX13057,Hidalgo,Singuilucan,48.8877086044
MX13058,Hidalgo,Tasquillo,51.627540719
MX13059,Hidalgo,Tecozautla,44.2235366157
MX13060,Hidalgo,Tenango de Doria,63.5409147404
MX13061,Hidalgo,Tepeapulco,31.5480777026
MX13062,Hidalgo,Tepehuacán de Guerrero,81.5839364988
MX13063,Hidalgo,Tepeji del Río de Ocampo,32.2680998001
MX13064,Hidalgo,Tepetitlán,42.0423502861
MX13065,Hidalgo,Tetepango,53.8912402253
MX13066,Hidalgo,Villa de Tezontepec,52.6113300494
MX13067,Hidalgo,Tezontepec de Aldama,55.1063024468
