adm1_name,adm2_name,adm2_code,pop_total,pop_wra
Guanajuato,Manuel Doblado,MX11008,43273,10818
Guanajuato,Moroleón,MX11021,50660,12665
Guanajuato,Ocampo,MX11022,27788,6947
Guanajuato,Pueblo Nuevo,MX11024,13360,3340
Guanajuato,Purísima del Rincón,MX11025,89487,22372
Guanajuato,Pénjamo,MX11023,163293,40823
Guanajuato,Romita,MX11026,69928,17482
Guanajuato,Salamanca,MX11027,286503,71626
Guanajuato,Salvatierra,MX11028,98044,24511
Guanajuato,San Diego de la Unión,MX11029,43667,10917
Guanajuato,San Felipe,MX11030,126094,31523
Guanajuato,San Francisco del Rincón,MX11031,140940,35235
Guanajuato,San José Iturbide,MX11032,94998,23749
Guanajuato,San Luis de la Paz,MX11033,136333,34083
Guanajuato,San Miguel de Allende,MX11003,183470,45868
Guanajuato,Santa Catarina,MX11034,6096,1524
Guanajuato,Santa Cruz de Juventino Rosas,MX11035,86795,21699
Guanajuato,Santiago Maravatío,MX11036,7080,1770
Guanajuato,Silao de la Victoria,MX11037,215449,53862
Guanajuato,Tarandacuao,MX11038,11943,2986
Guanajuato,Tarimoro,MX11039,37596,9399
Guanajuato,Tierra Blanca,MX11040,21266,5316
Guanajuato,Uriangato,MX11041,65855,16464
Guanajuato,Valle de Santiago,MX11042,157919,39480
Guanajuato,Victoria,MX11043,22366,5591
Guanajuato,Villagrán,MX11044,70336,17584
Guanajuato,Xichú,MX11045,11702,2925
Guanajuato,Yuriria,MX11046,72314,18078
Guerrero,Acapulco de Juárez,MX12001,803277,200819
Guerrero,Acatepec,MX12076,43190,10797
Guerrero,Ahuacuotzingo,MX12002,26621,6655
Guerrero,Ajuchitlán del Progreso,MX12003,39612,9903
Guerrero,Alcozauca de Guerrero,MX12004,22516,5629
Guerrero,Alpoyeca,MX12005,8260,2065
Guerrero,Apaxtla,MX12006,11630,2908
Guerrero,Arcelia,MX12007,35109,8777
Guerrero,Atenango del Río,MX12008,9658,2415
Guerrero,Atlamajalcingo del Monte,MX12009,6507,1627
Guerrero,Atlixtac,MX12010,30368,7592
Guerrero,Atoyac de Álvarez,MX12011,63371,15843
Guerrero,Ayutla de los Libres,MX12012,73140,18285
Guerrero,Azoyú,MX12013,16092,4023
Guerrero,Benito Juárez,MX12014,16095,4024
Guerrero,Buenavista de Cuéllar,MX12015,13620,3405
Guerrero,Chilapa de Álvarez,MX12028,130491,32623
Guerrero,Chilpancingo de los Bravo,MX12029,297318,74330
Guerrero,Coahuayutla de José María Izazaga,MX12016,13017,3254
Guerrero,Cochoapa el Grande,MX12078,21833,5458
Guerrero,Cocula,MX12017,16464,4116
Guerrero,Copala,MX12018,15312,3828
Guerrero,Copalillo,MX12019,16468,4117
Guerrero,Copanatoyac,MX12020,22939,5735
Guerrero,Coyuca de Benítez,MX12021,76713,19178
Guerrero,Coyuca de Catalán,MX12022,39042,9761
Guerrero,Cuajinicuilapa,MX12023,27865,6966
Guerrero,Cualác,MX12024,8254,2064
Guerrero,Cuautepec,MX12025,17978,4495
Guerrero,Cuetzala del Progreso,MX12026,8594,2148
Guerrero,Cutzamala de Pinzón,MX12027,21560,5390
Guerrero,Eduardo Neri,MX12075,55899,13975
Guerrero,Florencio Villarreal,MX12030,23365,5841
Guerrero,General Canuto A. Neri,MX12031,6657,1664
Guerrero,General Heliodoro Castillo,MX12032,39531,9883
Guerrero,Huamuxtitlán,MX12033,18334,4584
Guerrero,Huitzuco de los Figueroa,MX12034,38111,9528
Guerrero,Iguala de la Independencia,MX12035,161262,40315
Guerrero,Igualapa,MX12036,12605,3151
Guerrero,Iliatenco,MX12081,12755,3189
Guerrero,Ixcateopan de Cuauhtémoc,MX12037,6455,1614
Guerrero,José Joaquín de Herrera,MX12079,19516,4879
Guerrero,Juan R. Escudero,MX12039,27322,6830
Guerrero,Juchitán,MX12080,7999,2000
Guerrero,La Unión de Isidoro Montes de Oca,MX12068,27517,6879
Guerrero,Leonardo Bravo,MX12040,27898,6975
Guerrero,Malinaltepec,MX12041,31697,7924
Guerrero,Marquelia,MX12077,15021,3755
Guerrero,Metlatónoc,MX12043,21056,5264
Guerrero,Mochitlán,MX12044,13161,3290
Guerrero,Mártir de Cuilapan,MX12042,19652,4913
Guerrero,Olinalá,MX12045,30047,7512
Guerrero,Ometepec,MX12046,71861,17965
Guerrero,Pedro Ascencio Alquisiras,MX12047,7549,1887
Guerrero,Petatlán,MX12048,46790,11698
Guerrero,Pilcaya,MX12049,13535,3384
Guerrero,Pungarabato,MX12050,40376,10094
Guerrero,Quechultenango,MX12051,38102,9526
Guerrero,San Luis Acatlán,MX12052,48710,12177
Guerrero,San Marcos,MX12053,52578,13144
Guerrero,San Miguel Totolapan,MX12054,25450,6363
Guerrero,Taxco de Alarcón,MX12055,110264,27566
Guerrero,Tecoanapa,MX12056,48351,12088
Guerrero,Teloloapan,MX12058,56559,14140
Guerrero,Tepecoacuilco de Trujano,MX12059,32262,8066
Guerrero,Tetipac,MX12060,14330,3583
Guerrero,Tixtla de Guerrero,MX12061,45274,11318
Guerrero,Tlacoachistlahuaca,MX12062,24289,6072
Guerrero,Tlacoapa,MX12063,10768,2692
Guerrero,Tlalchapa,MX12064,12212,3053
Guerrero,Tlalixtaquilla de Maldonado,MX12065,7981,1995
Guerrero,Tlapa de Comonfort,MX12066,101827,25457
Guerrero,Tlapehuala,MX12067,23344,5836
Guerrero,Técpan de Galeana,MX12057,68127,17032
Guerrero,Xalpatláhuac,MX12069,12984,3246
