adm2_code,adm2_name,entidad,facilities
MX12015,Buenavista de Cuéllar,Guerrero,6
MX12016,Coahuayutla de José María Izazaga,Guerrero,7
MX12017,Cocula,Guerrero,8
MX12018,Copala,Guerrero,6
MX12019,Copalillo,Guerrero,8
MX12020,Copanatoyac,Guerrero,15
MX12021,Coyuca de Benítez,Guerrero,34
MX12022,Coyuca de Catalán,Guerrero,21
MX12023,Cuajinicuilapa,Guerrero,15
MX12024,Cualác,Guerrero,8
MX12025,Cuautepec,Guerrero,6
MX12026,Cuetzala del Progreso,Guerrero,6
MX12027,Cutzamala de Pinzón,Guerrero,17
MX12028,Chilapa de Álvarez,Guerrero,48
MX12029,Chilpancingo de los Bravo,Guerrero,90
MX12030,Florencio Villarreal,Guerrero,6
MX12031,General Canuto A. Neri,Guerrero,4
MX12032,General Heliodoro Castillo,Guerrero,23
MX12033,Huamuxtitlán,Guerrero,12
MX12034,Huitzuco de los Figueroa,Guerrero,21
MX12035,Iguala de la Independencia,Guerrero,37
MX12036,Igualapa,Guerrero,6
MX12037,Ixcateopan de Cuauhtémoc,Guerrero,4
MX12038,Zihuatanejo de Azueta,Guerrero,41
MX12039,Juan R. Escudero,Guerrero,10
MX12040,Leonardo Bravo,Guerrero,8
MX12041,Malinaltepec,Guerrero,20
MX12042,Mártir de Cuilapan,Guerrero,12
MX12043,Metlatónoc,Guerrero,13
MX12044,Mochitlán,Guerrero,4
MX12045,Olinalá,Guerrero,15
MX12046,Ometepec,Guerrero,24
MX12047,Pedro Ascencio Alquisiras,Guerrero,5
MX12048,Petatlán,Guerrero,20
MX12049,Pilcaya,Guerrero,5
MX12050,Pungarabato,Guerrero,14
MX12051,Quechultenango,Guerrero,16
MX12052,San Luis Acatlán,Guerrero,14
MX12053,San Marcos,Guerrero,25
MX12054,San Miguel Totolapan,Guerrero,14
MX12055,Taxco de Alarcón,Guerrero,41
MX12056,Tecoanapa,Guerrero,23
MX12057,Técpan de Galeana,Guerrero,29
MX12058,Teloloapan,Guerrero,27
MX12059,Tepecoacuilco de Trujano,Guerrero,14
MX12060,Tetipac,Guerrero,6
MX12061,Tixtla de Guerrero,Guerrero,10
MX12062,Tlacoachistlahuaca,Guerrero,10
MX12063,Tlacoapa,Guerrero,7
MX12064,Tlalchapa,Guerrero,7
MX12065,Tlalixtaquilla de Maldonado,Guerrero,8
MX12066,Tlapa de Comonfort,Guerrero,25
MX12067,Tlapehuala,Guerrero,10
MX12068,La Unión de Isidoro Montes de Oca,Guerrero,15
MX12069,Xalpatláhuac,Guerrero,12
MX12070,Xochihuehuetlán,Guerrero,4
MX12071,Xochistlahuaca,Guerrero,10
MX12072,Zapotitlán Tablas,Guerrero,8
MX12073,Zirándaro,Guerrero,10
MX12074,Zitlala,Guerrero,8
MX12075,Eduardo Neri,Guerrero,19
MX12076,Acatepec,Guerrero,16
MX12077,Marquelia,Guerrero,5
MX12078,Cochoapa el Grande,Guerrero,4
MX12079,José Joaquín de Herrera,Guerrero,5
MX12080,Juchitán,Guerrero,2
MX12081,Iliatenco,Guerrero,6
MX13001,Acatlán,Hidalgo,7
MX13002,Acaxochitlán,Hidalgo,14
MX13003,Actopan,Hidalgo,32
MX13004,Agua Blanca de Iturbide,Hidalgo,4
MX13005,Ajacuba,Hidalgo,4
MX13006,Alfajayucan,Hidalgo,7
MX13007,Almoloya,Hidalgo,2
MX13008,Apan,Hidalgo,18
MX13009,El Arenal,Hidalgo,5
MX13010,Atitalaquia,Hidalgo,10
MX13011,Atlapexco,Hidalgo,10
MX13012,Atotonilco el Grande,Hidalgo,9
MX13013,Atotonilco de Tula,Hidalgo,10
MX13014,Calnali,Hidalgo,9
MX13015,Cardonal,Hidalgo,16
MX13016,Cuautepec de Hinojosa,Hidalgo,14
MX13017,Chapantongo,Hidalgo,6
MX13018,Chapulhuacán,Hidalgo,9
MX13019,Chilcuautla,Hidalgo,9
MX13020,Eloxochitlán,Hidalgo,3
MX13021,Emiliano Zapata,Hidalgo,4
MX13022,Epazoyucan,Hidalgo,3
MX13023,Francisco I. Madero,Hidalgo,8
MX13024,Huasca de Ocampo,Hidalgo,3
MX13025,Huautla,Hidalgo,8
MX13026,Huazalingo,Hidalgo,4
MX13027,Huehuetla,Hidalgo,7
MX13028,Huejutla de Reyes,Hidalgo,32
MX13029,Huichapan,Hidalgo,15
MX13030,Ixmiquilpan,Hidalgo,39
MX13031,Jacala de Ledezma,Hidalgo,6
MX13032,Jaltocán,Hidalgo,2
MX13033,Juárez Hidalgo,Hidalgo,2
MX13034,Lolotla,Hidalgo,4
MX13035,Metepec,Hidalgo,1
MX13036,San Agustín Metzquititlán,Hidalgo,1
MX13037,Metztitlán,Hidalgo,14
MX13038,Mineral del Chico,Hidalgo,6
MX13039,Mineral del Monte,Hidalgo,3
MX13040,La Misión,Hidalgo,4
MX13041,Mixquiahuala de Juárez,Hidalgo,21
MX13042,Molango de Escamilla,Hidalgo,6
MX13043,Nicolás Flores,Hidalgo,4
MX13044,Nopala de Villagrán,Hidalgo,10
MX13045,Omitlán de Juárez,Hidalgo,3
MX13046,San Felipe Orizatlán,Hidalgo,10
MX13047,Pacula,Hidalgo,3
MX13048,Pachuca de Soto,Hidalgo,107
MX13049,Pisaflores,Hidalgo,5
MX13050,Progreso de Obregón,Hidalgo,9
MX13051,Mineral de la Reforma,Hidalgo,25
MX13052,San Agustín Tlaxiaca,Hidalgo,10
MX13053,San Bartolo Tutotepec,Hidalgo,8
MX13054,San Salvador,Hidalgo,12
MX13055,Santiago de Anaya,Hidalgo,9
MX13056,Santiago Tulantepec de Lugo Guerrero,Hidalgo,5
MX13057,Singuilucan,Hidalgo,3
MX13058,Tasquillo,Hidalgo,6
MX13059,Tecozautla,Hidalgo,13
MX13060,Tenango de Doria,Hidalgo,6
MX13061,Tepeapulco,Hidalgo,21
MX13062,Tepehuacán de Guerrero,Hidalgo,17
MX13063,Tepeji del Río de Ocampo,Hidalgo,20
MX13064,Tepetitlán,Hidalgo,6
MX13065,Tetepango,Hidalgo,2
MX13066,Villa de Tezontepec,Hidalgo,5
MX13067,Tezontepec de Aldama,Hidalgo,26
MX13068,Tianguistengo,Hidalgo,5
MX13069,Tizayuca,Hidalgo,36
MX13070,Tlahuelilpan,Hidalgo,6
MX13071,Tlahuiltepa,Hidalgo,6
MX13072,Tlanalapa,Hidalgo,2
MX13073,Tlanchinol,Hidalgo,18
MX13074,Tlaxcoapan,Hidalgo,14
MX13075,Tolcayuca,Hidalgo,5
MX13076,Tula de Allende,Hidalgo,51
MX13077,Tulancingo de Bravo,Hidalgo,45
MX13078,Xochiatipan,Hidalgo,5
MX13079,Xochicoatlán,Hidalgo,3
MX13080,Yahualica,Hidalgo,8
MX13081,Zacualtipán de Ángeles,Hidalgo,7
MX13082,Zapotlán de Juárez,Hidalgo,9
MX13083,Zempoala,Hidalgo,6
MX13084,Zimapán,Hidalgo,15
MX14001,Acatic,Jalisco,4
MX14002,Acatlán de Juárez,Jalisco,5
MX14003,Ahualulco de Mercado,Jalisco,8
MX14004,Amacueca,Jalisco,2
MX14005,Amatitán,Jalisco,4
MX14006,Ameca,Jalisco,18
MX14007,San Juanito de Escobedo,Jalisco,4
MX14008,Arandas,Jalisco,21
MX14009,El Arenal,Jalisco,5
MX14010,Atemajac de Brizuela,Jalisco,2
MX14011,Atengo,Jalisco,2
MX14012,Atenguillo,Jalisco,2
MX14013,Atotonilco el Alto,Jalisco,14
MX14014,Atoyac,Jalisco,3
MX14015,Autlán de Navarro,Jalisco,21
MX14016,Ayotlán,Jalisco,9
MX14017,Ayutla,Jalisco,5
MX14018,La Barca,Jalisco,21
MX14019,Bolaños,Jalisco,6
MX14020,Cabo Corrientes,Jalisco,6
MX14021,Casimiro Castillo,Jalisco,7
MX14022,Cihuatlán,Jalisco,11
MX14023,Zapotlán el Grande,Jalisco,23
MX14024,Cocula,Jalisco,9
MX14025,Colotlán,Jalisco,10
MX14026,Concepción de Buenos Aires,Jalisco,1
MX14027,Cuautitlán de García Barragán,Jalisco,8
MX14028,Cuautla,Jalisco,2
MX14029,Cuquío,Jalisco,9
MX14030,Chapala,Jalisco,17
MX14031,Chimaltitán,Jalisco,4
MX14032,Chiquilistlán,Jalisco,2
MX14033,Degollado,Jalisco,6
MX14034,Ejutla,Jalisco,1
MX14035,Encarnación de Díaz,Jalisco,12
MX14036,Etzatlán,Jalisco,5
MX14037,El Grullo,Jalisco,9
MX14038,Guachinango,Jalisco,3
MX14039,Guadalajara,Jalisco,356
MX14040,Hostotipaquillo,Jalisco,2
MX14041,Huejúcar,Jalisco,4
MX14042,Huejuquilla el Alto,Jalisco,7
MX14043,La Huerta,Jalisco,14
MX14044,Ixtlahuacán de los Membrillos,Jalisco,12
MX14045,Ixtlahuacán del Río,Jalisco,9
MX14046,Jalostotitlán,Jalisco,9
MX14047,Jamay,Jalisco,6
MX14048,Jesús María,Jalisco,7
MX14049,Jilotlán de los Dolores,Jalisco,3
MX14050,Jocotepec,Jalisco,13
MX14051,Juanacatlán,Jalisco,3
MX14052,Juchitlán,Jalisco,3
MX14053,Lagos de Moreno,Jalisco,32
MX14054,El Limón,Jalisco,3
MX14055,Magdalena,Jalisco,5
MX14056,Santa María del Oro,Jalisco,1
MX14057,La Manzanilla de la Paz,Jalisco,2
MX14058,Mascota,Jalisco,7
MX14059,Mazamitla,Jalisco,4
MX14060,Mexticacán,Jalisco,2
MX14061,Mezquitic,Jalisco,16
MX14062,Mixtlán,Jalisco,2
MX14063,Ocotlán,Jalisco,20
MX14064,Ojuelos de Jalisco,Jalisco,13
MX14065,Pihuamo,Jalisco,7
MX14066,Poncitlán,Jalisco,13
MX14067,Puerto Vallarta,Jalisco,56
MX14068,Villa Purificación,Jalisco,6
MX14069,Quitupan,Jalisco,4
MX14070,El Salto,Jalisco,17
MX14071,San Cristóbal de la Barranca,Jalisco,1
MX14072,San Diego de Alejandría,Jalisco,1
MX14073,San Juan de los Lagos,Jalisco,16
MX14074,San Julián,Jalisco,4
MX14075,San Marcos,Jalisco,1
MX14076,San Martín de Bolaños,Jalisco,3
MX14077,San Martín Hidalgo,Jalisco,9
MX14078,San Miguel el Alto,Jalisco,7
MX14079,Gómez Farías,Jalisco,4
MX14080,San Sebastián del Oeste,Jalisco,2
MX14081,Santa María de los Ángeles,Jalisco,3
MX14082,Sayula,Jalisco,7
MX14083,Tala,Jalisco,18
MX14084,Talpa de Allende,Jalisco,7
MX14085,Tamazula de Gordiano,Jalisco,11
MX14086,Tapalpa,Jalisco,5
MX14087,Tecalitlán,Jalisco,4
MX14088,Tecolotlán,Jalisco,6
MX14089,Techaluta de Montenegro,Jalisco,2
MX14090,Tenamaxtlán,Jalisco,4
MX14091,Teocaltiche,Jalisco,13
MX14092,Teocuitatlán de Corona,Jalisco,4
MX14093,Tepatitlán de Morelos,Jalisco,30
MX14094,Tequila,Jalisco,10
MX14095,Teuchitlán,Jalisco,6
MX14096,Tizapán el Alto,Jalisco,7
MX14097,Tlajomulco de Zúñiga,Jalisco,73
MX14098,San Pedro Tlaquepaque,Jalisco,75
MX14099,Tolimán,Jalisco,3
MX14100,Tomatlán,Jalisco,15
MX14101,Tonalá,Jalisco,53
MX14102,Tonaya,Jalisco,1
MX14103,Tonila,Jalisco,3
MX14104,Totatiche,Jalisco,2
MX14105,Tototlán,Jalisco,4
MX14106,Tuxcacuesco,Jalisco,2
MX14107,Tuxcueca,Jalisco,3
MX14108,Tuxpan,Jalisco,6
MX14109,Unión de San Antonio,Jalisco,5
MX14110,Unión de Tula,Jalisco,6
MX14111,Valle de Guadalupe,Jalisco,1
